abelar_n;tek1;PAR
bailly_a;tek3;NAN
bailly_b;tek1;NCY
bailly_y;tek1;TLS
barrer_c;tek3;REN
beaufo_m;tek2;NCY
beaufo_v;tek3;STG
benais_q;tek2;MPL
bertau_l;tek3;PAR
bertau_t;tek3;PAR
boiteu_c;tek1;MAR
boiteu_e;tek1;PAR
boiteu_t;tek1;BDX
boiteu_v;tek2;PAR
bonnef_o;tek1;PAR
bonnef_s;tek2;PAR
bourge_g;tek2;NCE
brissa_e;tek2;NAN
brissa_s;tek1;MAR
brissa_y;tek1;NCY
cadiou_c;tek1;MPL
cadiou_j;tek1;PAR
cadiou_m;tek1;NCY
cadiou_o;tek1;LYN
calmel_s;tek2;PAR
carbon_h;tek1;TLS
carbon_s;tek3;PAR
charti_d;tek1;MPL
charti_m;tek1;PAR
charti_n;tek2;PAR
charti_v;tek1;PAR
chauve_a;tek1;TLS
coulom_a;tek2;LYN
courto_h;tek3;PAR
dalibe_o;tek2;TLS
demang_d;tek3;NAN
demang_e;tek2;PAR
demang_l;tek1;TLS
demang_n;tek1;MAR
desmar_e;tek3;PAR
dufres_e;tek1;MPL
dufres_m;tek1;PAR
duques_d;tek1;PAR
duques_m;tek3;PAR
duques_t;tek1;BDX
duques_z;tek1;TLS
escoff_a;tek2;NCY
faucon_f;tek1;PAR
faucon_m;tek1;LYN
faucon_s;tek2;PAR
ferran_l;tek2;PAR
ferran_t;tek1;NCE
fontan_m;tek2;LYN
fontan_n;tek1;STG
fontan_q;tek2;PAR
gadboi_p;tek2;LIL
gailla_s;tek1;PAR
gailla_u;tek3;PAR
garnie_a;tek1;PAR
garnie_l;tek2;PAR
garnie_t;tek3;PAR
gauthi_c;tek2;PAR
gauthi_d;tek2;LYN
gauthi_o;tek1;LYN
gervai_d;tek1;MAR
gonthi_l;tek3;REN
gonthi_r;tek1;NCE
gonthi_t;tek1;LIL
gonthi_z;tek1;TLS
grandc_c;tek3;TLS
grandc_e;tek2;NAN
grandc_t;tek1;LYN
guyonn_l;tek2;PAR
guyonn_o;tek1;LYN
herbau_n;tek2;PAR
herbau_o;tek2;MAR
herbau_y;tek3;MAR
jouven_a;tek3;NCY
jouven_e;tek1;PAR
labbe_h;tek3;NCY
labbe_m;tek2;LYN
labbe_t;tek1;NAN
lachan_a;tek2;PAR
lachan_n;tek1;LIL
langlo_a;tek3;BDX
langlo_y;tek2;PAR
lascau_l;tek1;STG
laurio_r;tek1;PAR
lemoin_a;tek2;TLS
lemoin_v;tek1;LIL
lestra_e;tek1;TLS
lestra_m;tek2;MPL
loisea_n;tek1;NAN
loisea_s;tek1;NAN
malher_n;tek1;PAR
marcea_f;tek1;LYN
marcea_h;tek1;PAR
marcea_l;tek1;NCE
mazero_e;tek1;STG
monbru_n;tek2;PAR
monbru_q;tek2;BDX
monbru_s;tek3;PAR
montai_a;tek2;PAR
montai_m;tek1;PAR
nourri_r;tek2;MPL
ollivi_b;tek2;PAR
ollivi_d;tek1;PAR
ollivi_e;tek3;PAR
ollivi_f;tek2;PAR
ollivi_l;tek2;PAR
ollivi_m;tek1;PAR
ollivi_u;tek3;REN
pasqui_e;tek2;LIL
pasqui_k;tek3;PAR
pasqui_m;tek2;REN
peller_c;tek1;PAR
peller_t;tek1;NCY
peyron_d;tek2;TLS
poinso_m;tek1;PAR
poinso_s;tek1;NCE
poinso_v;tek1;REN
quesne_l;tek3;NAN
quesne_m;tek2;PAR
rabour_r;tek1;NCY
riboul_m;tek1;PAR
riboul_o;tek2;LYN
rochet_o;tek1;PAR
rochet_y;tek2;PAR
sagnie_h;tek1;REN
salomo_j;tek1;LYN
salomo_t;tek2;PAR
sensie_a;tek1;PAR
sensie_c;tek1;PAR
sensie_h;tek2;MPL
sensie_n;tek1;PAR
tavern_a;tek3;LYN
tavern_j;tek1;BDX
terras_j;tek1;LYN
theven_c;tek1;PAR
theven_j;tek1;MAR
theven_y;tek3;PAR
tourni_m;tek1;LIL
tourni_r;tek3;MAR
tourni_v;tek3;NCE
vailla_a;tek3;PAR
vailla_d;tek3;PAR
vailla_g;tek1;PAR
valmon_r;tek1;LIL
verdie_a;tek3;PAR
verdie_q;tek1;NCE
verdie_r;tek2;TLS
verdie_u;tek1;TLS
vieill_c;tek1;MAR
vieill_e;tek1;PAR
vieill_t;tek1;NCE
vigner_d;tek3;MPL
vigner_e;tek3;REN
voisen_t;tek1;REN
wattel_m;tek1;REN
zeller_a;tek3;LIL
zeller_e;tek3;PAR
zeller_h;tek1;PAR
